,similarity,sentence1,sentence2
5789,neutral,Two young boys have a conversation with one and other.,Two boys are laughing.
5790,entailment,Two young boys have a conversation with one and other.,Two boys are talking.
5791,neutral,A goalie in a yellow field is protecting the goal.,A goalie is protecting the goal but tired.
5792,contradiction,A goalie in a yellow field is protecting the goal.,A goalie is sitting on the grass.
5793,entailment,A goalie in a yellow field is protecting the goal.,A goalie is protecting the goal.
5794,neutral,Two girls slide down the air-filled slide.,Some girls are at a party.
5795,contradiction,Two girls slide down the air-filled slide.,The boys are swimming in the pool.
5796,entailment,Two girls slide down the air-filled slide.,The people are sliding.
5797,contradiction,A boy riding on a carnival ride turns around for a photograph.,Nobody is riding
5798,entailment,A boy riding on a carnival ride turns around for a photograph.,A human riding
5799,neutral,A boy riding on a carnival ride turns around for a photograph.,A tall human riding
5800,neutral,Protesters in costumes carry signs through a paved city street.,The protestors wore costumes to relay a serious message.
5801,entailment,Protesters in costumes carry signs through a paved city street.,The protestors wore costumes.
5802,contradiction,Protesters in costumes carry signs through a paved city street.,The protesters were nude.
5803,contradiction,Teens doing there best at a jump photo.,Adults are sitting at a table.
5804,neutral,Teens doing there best at a jump photo.,Girls are in mid-air.
5805,entailment,Teens doing there best at a jump photo.,People are in the process of jumping.
5806,neutral,A man in a blue shirt and red hat is looking at a torch.,A man is about to enter a cave.
5807,entailment,A man in a blue shirt and red hat is looking at a torch.,A man is wearing clothes.
5808,contradiction,A man in a blue shirt and red hat is looking at a torch.,A naked man is sitting with his eyes closed.
5809,contradiction,Small red airplane flies over mountaintop dropping red substance over fire.,the plane is crashing
5810,entailment,Small red airplane flies over mountaintop dropping red substance over fire.,the airplane is flying.
5811,neutral,Small red airplane flies over mountaintop dropping red substance over fire.,the plane is a firefighter.
5812,neutral,A classroom full of students is looking in the same direction inside a bamboo structure.,A group of students are taking a tour of a bamboo structure.
5813,neutral,A classroom full of students is looking in the same direction inside a bamboo structure.,A class taking a trip outside to visit a bamboo inspired structure.
5814,contradiction,A classroom full of students is looking in the same direction inside a bamboo structure.,A school classroom full of elephants are looking for their home.
5815,entailment,A man in a gray shirt sorts through Hawaiian style shirts in a department store.,The man is shopping at the department store.
5816,contradiction,A man in a gray shirt sorts through Hawaiian style shirts in a department store.,The man is shopping at the hardware store.
5817,neutral,A man in a gray shirt sorts through Hawaiian style shirts in a department store.,The man is looking for clothing for his trip to Hawaii.
5818,neutral,A little girl looking at a large boulder,A girl is near the ledge of a cliff.
5819,contradiction,A little girl looking at a large boulder,A girl closes her eyes.
5820,entailment,A little girl looking at a large boulder,A girl sees a rock formation.
5821,entailment,An overweight man riding a bicycle to work,The man is riding a bicycle.
5822,neutral,An overweight man riding a bicycle to work,The man is riding a homemade bicycle.
5823,contradiction,An overweight man riding a bicycle to work,The man is underweight.
5824,neutral,Girl in purple jacket leaning against a wall.,A lady is waiting in line at a concert.
5825,entailment,Girl in purple jacket leaning against a wall.,A girl is wearing purple attire.
5826,contradiction,Girl in purple jacket leaning against a wall.,A woman is making pancakes.
5827,entailment,A boy in s striped shirt is jumping in front of a water fountain.,A boy jumps in front of a water fountain.
5828,neutral,A boy in s striped shirt is jumping in front of a water fountain.,A boy jumps in a crowded area by a fountain.
5829,contradiction,A boy in s striped shirt is jumping in front of a water fountain.,A boy jumps next to a tractor.
5830,neutral,A dog holding a Frisbee walking in the water.,The frisbee is orange.
5831,contradiction,A dog holding a Frisbee walking in the water.,The dog has nothing in its mouth.
5832,entailment,A dog holding a Frisbee walking in the water.,The dog is wet.
5833,entailment,3 people having coffee outside of a museum.,3 people are outside with coffee.
5834,contradiction,3 people having coffee outside of a museum.,3 people are eating ice cream outside of a mall.
5835,entailment,3 people having coffee outside of a museum.,3 people are outside trying to have a drink.
5836,neutral,A cricket batsman plays at the ball while the wicketkeeper behind him gestures as if making a catch.,A man plays at a cricket ball while little boy wicketkeeper is behind him.
5837,contradiction,A cricket batsman plays at the ball while the wicketkeeper behind him gestures as if making a catch.,A man throwing a frisbee to a dog.
5838,entailment,A cricket batsman plays at the ball while the wicketkeeper behind him gestures as if making a catch.,Two people playing cricket.
5839,neutral,A woman is eating at a table as people walk by.,A woman is eating her meal at a resturant.
5840,neutral,A woman is eating at a table as people walk by.,A woman is eating lunch while on her break at work.
5841,contradiction,A woman is eating at a table as people walk by.,A woman is typing on her computer while drinking coffee.
5842,contradiction,A man wearing a blue sweatshirt and a white hard hat is working on a construction project.,The man works only in a t-shirt and socks.
5843,entailment,A man wearing a blue sweatshirt and a white hard hat is working on a construction project.,The man is a construction worker.
5844,neutral,A man wearing a blue sweatshirt and a white hard hat is working on a construction project.,The man is probably cold.
5845,contradiction,girl with helmet riding a brown horse,The girl is riding in the go kart
5846,neutral,girl with helmet riding a brown horse,The girl is wearing tall boots.
5847,entailment,girl with helmet riding a brown horse,The girl is on top of a horse.
5848,entailment,"Elegantly dressed in black, a man and woman embrace in dance.",Two people are dancing.
5849,contradiction,"Elegantly dressed in black, a man and woman embrace in dance.",Two people are sitting.
5850,neutral,"Elegantly dressed in black, a man and woman embrace in dance.",A husband and wife are dancing.
5851,entailment,A bridal party is posing for a picture outdoors.,A bridal party is outside.
5852,contradiction,A bridal party is posing for a picture outdoors.,The best man is taking pictures from the bachelor party.
5853,neutral,A bridal party is posing for a picture outdoors.,The party is taking pictures before a wedding.
5854,contradiction,A parade of people is marching in Santa costumes on a city street.,A group is playing hide and go seek
5855,entailment,A parade of people is marching in Santa costumes on a city street.,A group is in christmas themed suits.
5856,neutral,A parade of people is marching in Santa costumes on a city street.,A group is walking in a christmas parade
5857,entailment,A person in an orange kayak navigates white water rapids.,A PERSON IS KAYAKING IN ROUGH WATERS.
5858,contradiction,A person in an orange kayak navigates white water rapids.,A PERSON IS DRIVING A CAR.
5859,entailment,A person in an orange kayak navigates white water rapids.,A PERSON IS IN A BOAT.
5860,contradiction,Two older males sitting together on a river boat tour.,young ladies are riding a boat.
5861,entailment,Two older males sitting together on a river boat tour.,Two males sitting together on a boat
5862,entailment,Two older males sitting together on a river boat tour.,Two males are riding a boat
5863,neutral,in a girls basketball game she is shooting a foul shot,The girl got pushed hard by the other player.
5864,entailment,in a girls basketball game she is shooting a foul shot,The girl is taking extra shots fro the line.
5865,contradiction,in a girls basketball game she is shooting a foul shot,The girls are dancing.
5866,entailment,The white dog with brown spots is walking through shallow water.,The dog is wading through shallow water.
5867,neutral,The white dog with brown spots is walking through shallow water.,The dog is wading through water to get to his toy.
5868,contradiction,The white dog with brown spots is walking through shallow water.,The white and brown dog is standing on the edge of the water.
5869,neutral,A man in a small kayak is floating down the river.,A man got lost on his boating trip.
5870,contradiction,A man in a small kayak is floating down the river.,A man is waiting in traffic.
5871,entailment,A man in a small kayak is floating down the river.,A man is in a boat.
5872,entailment,Here is a little girl drinking her soda at what looks like an aquarium while the dolphin swims in the background.,There is a girl with an animal
5873,contradiction,Here is a little girl drinking her soda at what looks like an aquarium while the dolphin swims in the background.,The girl is in surgery
5874,neutral,Here is a little girl drinking her soda at what looks like an aquarium while the dolphin swims in the background.,The girl is on a school field trip
5875,entailment,A man cooks a large amount of shellfish in a wok outdoors.,He made the  shellfish  outside.
5876,contradiction,A man cooks a large amount of shellfish in a wok outdoors.,the water  looks  cold  to swim in.
5877,entailment,A man cooks a large amount of shellfish in a wok outdoors.,The  shellfish  was cooked  in  awok.
5878,neutral,A woman wearing a large bandanna around her neck is sitting at a table putting poker chips into a plastic bag.,"a woman sitting at a table is done playing poker, so she is putting the poker chips away."
5879,contradiction,A woman wearing a large bandanna around her neck is sitting at a table putting poker chips into a plastic bag.,a woman is standing at a table playing poker.
5880,entailment,A woman wearing a large bandanna around her neck is sitting at a table putting poker chips into a plastic bag.,a woman is wearing fashion accessories while sitting at a table.
5881,neutral,on a snowy day a man with a north face jacket walks through the crowded streets past a garbage truck,The man is wearing a ski jacket outside to walk to work.
5882,entailment,on a snowy day a man with a north face jacket walks through the crowded streets past a garbage truck,A man walks down the street in winter.
5883,contradiction,on a snowy day a man with a north face jacket walks through the crowded streets past a garbage truck,The garbage man is handing out icicles.
5884,entailment,"A family holding hands in the snow are behind a man and his son, whom is wearing a blue jacket.",A family holds hands in the snow.
5885,contradiction,"A family holding hands in the snow are behind a man and his son, whom is wearing a blue jacket.",A family enjoy the beach on a summer day.
5886,neutral,"A family holding hands in the snow are behind a man and his son, whom is wearing a blue jacket.",A family holds hands in the snow in Alaska.
5887,contradiction,A lumberjack cuts down a pine tree in a snowy area.,A lumberjack cuts down a tree in a desert.
5888,neutral,A lumberjack cuts down a pine tree in a snowy area.,A lumberjack wields a chainsaw to chop down a pine tree.
5889,entailment,A lumberjack cuts down a pine tree in a snowy area.,A lumberjack is chopping wood outside.
5890,entailment,A gymnast in a blue and pink leotard is standing on her right foot with her left foot in the air and waving a ribbon.,A gymnast is waving a ribbon.
5891,neutral,A gymnast in a blue and pink leotard is standing on her right foot with her left foot in the air and waving a ribbon.,An olympic gymnast is waving a ribbon.
5892,neutral,A gymnast in a blue and pink leotard is standing on her right foot with her left foot in the air and waving a ribbon.,A gymnast is strecthing before the match.
5893,neutral,An extremely wet woman is wading in front of a waterfall.,A dripping wet woman walks in front of a waterfall after swimming.
5894,entailment,An extremely wet woman is wading in front of a waterfall.,A woman dripping with water walks in front of a waterfall.
5895,contradiction,An extremely wet woman is wading in front of a waterfall.,A woman is sitting in the desert with a flat tire.
5896,neutral,An older gentleman in a blue sports jacket and glasses is talking to a woman in an off-white jacket.,The older man is famous.
5897,contradiction,An older gentleman in a blue sports jacket and glasses is talking to a woman in an off-white jacket.,The older man is talking to another man.
5898,entailment,An older gentleman in a blue sports jacket and glasses is talking to a woman in an off-white jacket.,The older man is wearing a blue jacket.
5899,entailment,A blond child is hiding behind a wooden post.,The person depicted is not an adult.
5900,entailment,A blond child is hiding behind a wooden post.,The child might be outside.
5901,contradiction,A blond child is hiding behind a wooden post.,The child is a brunette.
5902,neutral,Two cars are parked by a body of water by some cranes.,Two cars belonging to crane operators parked near their crane.
5903,contradiction,Two cars are parked by a body of water by some cranes.,Two cars parked inside of a garage.
5904,entailment,Two cars are parked by a body of water by some cranes.,Two cars parked near a body of water and a crane outside.
5905,neutral,People working together to build a shed.,people are building a bike shed
5906,entailment,People working together to build a shed.,people are building
5907,contradiction,People working together to build a shed.,people are doing nothing
5908,neutral,"A male gymnast from Romania, wearing all red, holding himself vertically while upside-down on rings suspended in the air.",The gymnast is a professional.
5909,contradiction,"A male gymnast from Romania, wearing all red, holding himself vertically while upside-down on rings suspended in the air.",The gymnast is from Trinidad.
5910,entailment,"A male gymnast from Romania, wearing all red, holding himself vertically while upside-down on rings suspended in the air.",The gymnast wore red.
5911,contradiction,A black dog and a goose swim in the water.,The animals are not in the water.
5912,entailment,A black dog and a goose swim in the water.,There are two animals in the water.
5913,neutral,A black dog and a goose swim in the water.,The goose has something in its mouth.
5914,contradiction,A man standing a busy European town square with a tall placard sign printed with biblical phrases.,Devil worshipers place black candles and dark drawings on the floor of an abandoned building.
5915,neutral,A man standing a busy European town square with a tall placard sign printed with biblical phrases.,A local religious curate tries to convince passers by to come to his church.
5916,entailment,A man standing a busy European town square with a tall placard sign printed with biblical phrases.,A person holding religious information is in the main location of an urban center.
5917,contradiction,"A crowd of people, almost all in helmets, some in masks, face the camera while someone in a red cap looks backward.",They all eat giant sandwiches
5918,neutral,"A crowd of people, almost all in helmets, some in masks, face the camera while someone in a red cap looks backward.",The convention of bicyclists are ready for the marathon
5919,entailment,"A crowd of people, almost all in helmets, some in masks, face the camera while someone in a red cap looks backward.",The camera catches the faces of a crowd of people
5920,entailment,A horse and rider on a steeplechase course.,A jockey is riding a horse.
5921,contradiction,A horse and rider on a steeplechase course.,Three horses are playing in a field together.
5922,neutral,A horse and rider on a steeplechase course.,A horse is about to win a steeplechase race.
5923,contradiction,Two men trying to hoist themselves up from the water on to a walkway made of tires.,two men are at a ball game
5924,neutral,Two men trying to hoist themselves up from the water on to a walkway made of tires.,two men are helping each other
5925,entailment,Two men trying to hoist themselves up from the water on to a walkway made of tires.,two men are climbing out of the water
5926,neutral,Two men climb onto tires while sitting in the muddy water.,two men are looking for a lost ring
5927,contradiction,Two men climb onto tires while sitting in the muddy water.,the men are dry
5928,entailment,Two men climb onto tires while sitting in the muddy water.,the men are wet
5929,neutral,Two men are trying to kick each other.,Two men are having a brawl.
5930,neutral,Two men are trying to kick each other.,Two men are fighting.
5931,contradiction,Two men are trying to kick each other.,Two ladies are kicking each other.
5932,contradiction,A woman shielding her face from the sun with a colorful umbrella.,The woman is avoiding the rain by using an umbrella.
5933,neutral,A woman shielding her face from the sun with a colorful umbrella.,The woman is concerned about sun damage.
5934,entailment,A woman shielding her face from the sun with a colorful umbrella.,A person is outdoors on a sunny day.
5935,entailment,Two young women are standing in the middle of a flower garden with their arms wide open.,There are flowers in the garden.
5936,contradiction,Two young women are standing in the middle of a flower garden with their arms wide open.,Two women are having lunch in a cafeteria.
5937,neutral,Two young women are standing in the middle of a flower garden with their arms wide open.,The two women are admiring the flowers.
5938,neutral,A band which includes an Upright Bass Player is playing in a tent in front of Canadian flags.,The band is playing bluegrass.
5939,contradiction,A band which includes an Upright Bass Player is playing in a tent in front of Canadian flags.,The band has no bass player.
5940,entailment,A band which includes an Upright Bass Player is playing in a tent in front of Canadian flags.,A bass player is playing the bass.
5941,contradiction,A band is performing on stage for people.,A band practicing alone in their parents' basement
5942,entailment,A band is performing on stage for people.,People watching a band perform.
5943,neutral,A band is performing on stage for people.,A rockband playing music at a performance
5944,entailment,A couple sit on a park bench with purple balloons tied to it.,people at the park.
5945,contradiction,A couple sit on a park bench with purple balloons tied to it.,A couple watching television
5946,neutral,A couple sit on a park bench with purple balloons tied to it.,People at a birthday party.
5947,neutral,A man in a large crowd converses with his friends.,A man is giving a speech to his peers.
5948,contradiction,A man in a large crowd converses with his friends.,A man is standing alone in the auditorium.
5949,entailment,A man in a large crowd converses with his friends.,A man is talking to a bunch of his friends.
5950,contradiction,A group of construction workers are walking.,the flies are eating shark
5951,neutral,A group of construction workers are walking.,the workers are walking home
5952,entailment,A group of construction workers are walking.,the workers are walking
5953,entailment,Construction workers walk towards their next job.,The workers are walking outside
5954,neutral,Construction workers walk towards their next job.,The workers are looking forward to the last job of the day.
5955,contradiction,Construction workers walk towards their next job.,The construction crew is done for the day
5956,-,A small child is sitting on a stump in a forest clearing.,a small child is sitting by a log in a forest
5957,contradiction,A small child is sitting on a stump in a forest clearing.,a little boy is playing hide and seek in the woods
5958,contradiction,A small child is sitting on a stump in a forest clearing.,a little boy was fishing in a pond
5959,neutral,Two guys are on a baseball field and one is about to hit the base.a group,The guys are in the MLB.
5960,entailment,Two guys are on a baseball field and one is about to hit the base.a group,One of the guys is a batter.
5961,contradiction,Two guys are on a baseball field and one is about to hit the base.a group,The guys are eating together in a restaurant.
5962,neutral,Pretty young lady brushing her teeth.,The lady is in the bathroom.
5963,contradiction,Pretty young lady brushing her teeth.,The lady is old and ugly.
5964,neutral,Pretty young lady brushing her teeth.,The lady is getting ready for a date.
5965,entailment,"A man standing in the road wearing a black jacket, red shirt and jeans on a cold, snowy day.",A man is standing in the road wearing a black jacket.
5966,contradiction,"A man standing in the road wearing a black jacket, red shirt and jeans on a cold, snowy day.",A man is standing in the road wearing a white jacket.
5967,-,"A man standing in the road wearing a black jacket, red shirt and jeans on a cold, snowy day.",A man is standing in the road wearing a light black jacket.
5968,neutral,"A woman is at an art studio, painting a mural from her art supplies.",The woman is painting a self portrait.
5969,contradiction,"A woman is at an art studio, painting a mural from her art supplies.",The is pass out on the floor.
5970,entailment,"A woman is at an art studio, painting a mural from her art supplies.",The woman is indoors.
5971,neutral,Two females and one male looking at various merchandise.,A family is window shopping together.
5972,entailment,Two females and one male looking at various merchandise.,Two girls and one man are browsing the store.
5973,contradiction,Two females and one male looking at various merchandise.,Two girls and one man are destroying merchandise.
5974,-,A wrestler in purple curls up in a ball while one in blue celebrates.,The wrestler in blue wins the match.
5975,contradiction,A wrestler in purple curls up in a ball while one in blue celebrates.,The wrestler in purple celebrates.
5976,contradiction,A wrestler in purple curls up in a ball while one in blue celebrates.,The wrestler in blue is undefeated.
5977,entailment,A man high on a tightrope walks and balances.,A man is balancing.
5978,neutral,A man high on a tightrope walks and balances.,A man is working at the circus.
5979,contradiction,A man high on a tightrope walks and balances.,A is falling.
5980,neutral,Two teen girls relax on a black futon.,Two young girls are sitting inside.
5981,contradiction,Two teen girls relax on a black futon.,Two young girls are running outside.
5982,neutral,Two teen girls relax on a black futon.,Two young girls are waiting for their mom to get ready.
5983,contradiction,"A group of people wearing blue shirts, standing in the grass.",A group of naked people sitting in the grass.
5984,entailment,"A group of people wearing blue shirts, standing in the grass.",People standing in the grass.
5985,neutral,"A group of people wearing blue shirts, standing in the grass.",People standing in the grass talking about their problems.
5986,contradiction,Tourists on a bridge pose for a photograph.,The President of the United States sits at his desk in the Oval Office.
5987,entailment,Tourists on a bridge pose for a photograph.,People pose for a photograph.
5988,neutral,Tourists on a bridge pose for a photograph.,Tourists at London Bridge pose for a photograph.
5989,neutral,A couple being romantic under the sunset.,A man and a woman touching each other  looking at the sunset.
5990,entailment,A couple being romantic under the sunset.,People are enjoying sundown.
5991,contradiction,A couple being romantic under the sunset.,A couple having fight.
5992,entailment,A man in a blue suit reached towards a seated women in an office.,There are people in the office.
5993,neutral,A man in a blue suit reached towards a seated women in an office.,The man is giving the woman her paycheck.
5994,contradiction,A man in a blue suit reached towards a seated women in an office.,The man is wearing an orange suit.
5995,entailment,A group of people dressed in Santa Claus suits are looking towards an audience while a DJ runs a sound board and another person throws green balls into the air.,A DJ plays music for a crowd while they play with a green balls.
5996,neutral,A group of people dressed in Santa Claus suits are looking towards an audience while a DJ runs a sound board and another person throws green balls into the air.,A band plays at a beach party.
5997,entailment,A group of people dressed in Santa Claus suits are looking towards an audience while a DJ runs a sound board and another person throws green balls into the air.,A crowd of santas are on stage at a Christmas party.
5998,contradiction,A farmer gives a tour of his farm to local families,A dog jumping through hoops.
5999,entailment,A farmer gives a tour of his farm to local families,people are outside
6000,neutral,A farmer gives a tour of his farm to local families,a farmer selling his farm
6001,contradiction,Two children are sitting in the same wooden lawn chair while a green rake is leaning against the same chair.,The children are inside playing video games.
6002,neutral,Two children are sitting in the same wooden lawn chair while a green rake is leaning against the same chair.,The children are getting ready for anap.
6003,entailment,Two children are sitting in the same wooden lawn chair while a green rake is leaning against the same chair.,Two children are on the lawn.
6004,contradiction,a man and woman hug.,Everyone is standing apart.
6005,entailment,a man and woman hug.,Some people are hugging.
6006,neutral,a man and woman hug.,Someone is wearing a blue shirt.
6007,contradiction,"On a sunny day, in a lush, green field, one small girl inspects a rock while her friend goes off in another direction.",A girl sleeps
6008,entailment,"On a sunny day, in a lush, green field, one small girl inspects a rock while her friend goes off in another direction.",A girl watches a rock outside
6009,neutral,"On a sunny day, in a lush, green field, one small girl inspects a rock while her friend goes off in another direction.",A girl watches something
6010,entailment,"People in a warehouse, with one man kicking a bag.",People inside.
6011,contradiction,"People in a warehouse, with one man kicking a bag.",A group of dogs chasing a cat.
6012,neutral,"People in a warehouse, with one man kicking a bag.",A group of people playing a game by kicking a bag around.
6013,contradiction,A dog begins to climb a brick staircase near plants.,The dog is eating the plants.
6014,neutral,A dog begins to climb a brick staircase near plants.,The plants are dead.
6015,entailment,A dog begins to climb a brick staircase near plants.,A dog is going up the stairs.
6016,neutral,A determined crosscountry runner.,A man tests himself against the enviroment
6017,neutral,A determined crosscountry runner.,A runner transcends his psychial  boundaries
6018,contradiction,A determined crosscountry runner.,Running away from a stray dog
6019,-,a bride and a groom at their wedding kissing,A woman in a black dress.
6020,entailment,a bride and a groom at their wedding kissing,A newly married couple kiss.
6021,neutral,a bride and a groom at their wedding kissing,A new couple kiss every time someone rings a bell at the reception.
6022,neutral,Two workers wearing orange vests are working on treads.,Two men are co-workers.
6023,contradiction,Two workers wearing orange vests are working on treads.,Two men are wearing purple dresses.
6024,neutral,Two workers wearing orange vests are working on treads.,Two men are working in a garage.
6025,neutral,A brown dog in running on grass.,A dog is playing at the park
6026,entailment,A brown dog in running on grass.,A dog is moving around
6027,contradiction,A brown dog in running on grass.,A dog is sleeping at the beach
6028,entailment,Three dogs drinking water at a public spigot.,Dogs drink water in public.
6029,entailment,Three dogs drinking water at a public spigot.,Dogs drink from a public city supplied water supply.
6030,contradiction,Three dogs drinking water at a public spigot.,Three dogs run through the arctic.
6031,entailment,A man kneeling and a woman standing next to him.,The man is near a woman.
6032,neutral,A man kneeling and a woman standing next to him.,The man is tying the woman's shoe.
6033,contradiction,A man kneeling and a woman standing next to him.,The couple are sitting down for dinner.
6034,neutral,A local policeman standing in front of the counter with complete equipments belted to his waist.,A local policeman standing stiff in front of the counter
6035,contradiction,A local policeman standing in front of the counter with complete equipments belted to his waist.,A local policeman standing in front of the spaceship
6036,entailment,A local policeman standing in front of the counter with complete equipments belted to his waist.,A local policeman standing in front of the counter
6037,neutral,"Woman is playing with a young girl, by holding her upside down.",Woman is holding a toddler upside down by the ankles.
6038,contradiction,"Woman is playing with a young girl, by holding her upside down.",Woman is cooking dinner.
6039,entailment,"Woman is playing with a young girl, by holding her upside down.",Woman is  holding a child upside down.
6040,entailment,A little girl with blond pigtails is being held upside down by a blond woman with a ponytail.,Two blond females are together.
6041,neutral,A little girl with blond pigtails is being held upside down by a blond woman with a ponytail.,A blond woman is helping a little girl perform a handstand.
6042,contradiction,A little girl with blond pigtails is being held upside down by a blond woman with a ponytail.,Two blond females are swimming.
6043,entailment,A boy plays in the surf.,A boy is playing on the beach.
6044,neutral,A boy plays in the surf.,The boy is wearing red trunks.
6045,contradiction,A boy plays in the surf.,The boy is building a tent.
6046,entailment,Five people are in a swimming pool 3 ft. deep while there is a child on the side with blue shorts on and read floaties getting ready to jump in.,People are at a pool.
6047,contradiction,Five people are in a swimming pool 3 ft. deep while there is a child on the side with blue shorts on and read floaties getting ready to jump in.,The pool is 10ft deep.
6048,neutral,Five people are in a swimming pool 3 ft. deep while there is a child on the side with blue shorts on and read floaties getting ready to jump in.,A child is learning to swim.
6049,contradiction,A little boy learning to swim in a pool with his arm floaties.,The little boy is diving off the diving board because he is an excellent swimmer.
6050,entailment,A little boy learning to swim in a pool with his arm floaties.,The little boy is in the water.
6051,neutral,A little boy learning to swim in a pool with his arm floaties.,The little boy is learning to swim at a group lesson teaching children in the community pool.
6052,neutral,A busy street scene on a rainy day full of umbrella toting walkers.,A bunch of people wearing glasses.
6053,entailment,A busy street scene on a rainy day full of umbrella toting walkers.,A bunch of people holding umbrellas on a rainy day.
6054,contradiction,A busy street scene on a rainy day full of umbrella toting walkers.,A bunch of people sitting on the beach on a cloudless day.
6055,neutral,a woman walks with her big purse.,Crowded street with a woman moving around
6056,contradiction,a woman walks with her big purse.,A women playing in ground
6057,neutral,a woman walks with her big purse.,A beautiful female passing by crowd
6058,neutral,"a crowd gather together, all looking in the same direction.",A large crowd is curious about something.
6059,neutral,"a crowd gather together, all looking in the same direction.",A large crowd are preparing to watch the parade.
6060,contradiction,"a crowd gather together, all looking in the same direction.",A large crowd are pulling a long rope.
6061,entailment,A chef speaks into a microphone about a mixed salad contained in a bowl with a decorative lid.,a chef speaks into a microphone near a bowl
6062,contradiction,A chef speaks into a microphone about a mixed salad contained in a bowl with a decorative lid.,A chef jumps
6063,entailment,A chef speaks into a microphone about a mixed salad contained in a bowl with a decorative lid.,A chef speaks
6064,contradiction,Two dogs run together across a grassy lawn.,The dogs are swimming.
6065,neutral,Two dogs run together across a grassy lawn.,The dogs are related.
6066,entailment,Two dogs run together across a grassy lawn.,The dogs are outside.
6067,neutral,Children standing and climbing near a fountain.,Children standing and climbing near a fountain after school.
6068,entailment,Children standing and climbing near a fountain.,Kids standing and climbing.
6069,contradiction,Children standing and climbing near a fountain.,Children running around playing tag.
6070,entailment,A man in a white lab coat is looking through a microscope.,There is a man examining items through a scope
6071,entailment,A man in a white lab coat is looking through a microscope.,There is a man looking through a scope
6072,contradiction,A man in a white lab coat is looking through a microscope.,There is a man purchasing a scope
6073,contradiction,A man in a lab coat looking into a microscope with containers in the background.,A man in a lab coat takes a lady's blood.
6074,entailment,A man in a lab coat looking into a microscope with containers in the background.,A man in a lab coat.
6075,neutral,A man in a lab coat looking into a microscope with containers in the background.,A man with a lab coat works in a lab.
6076,neutral,A man who has a gray beard and gray hair laughs while wearing a purple shirt.,A man is laughing at a woman who has fallen over.
6077,entailment,A man who has a gray beard and gray hair laughs while wearing a purple shirt.,A man is cheerful.
6078,contradiction,A man who has a gray beard and gray hair laughs while wearing a purple shirt.,A bald man is watching tennis.
6079,entailment,A girl in a pink sundress rides a bike next to a white picket fence.,A girl rides a bike.
6080,contradiction,A girl in a pink sundress rides a bike next to a white picket fence.,A girl surfing.
6081,neutral,A girl in a pink sundress rides a bike next to a white picket fence.,A girl rides a bike to the park.
6082,entailment,Man sitting down in a asian custom and styled room.,A man sitting down indoors in a room.
6083,contradiction,Man sitting down in a asian custom and styled room.,A couple kissing passionately in an asian room.
6084,neutral,Man sitting down in a asian custom and styled room.,A man waiting for his bride at a table in the room.
6085,contradiction,Male nun smoking a cigarette.,Male nun is on the moon.
6086,neutral,Male nun smoking a cigarette.,Male nun is addicted to nicotine.
6087,entailment,Male nun smoking a cigarette.,Male nun is inhaling.
6088,contradiction,A little brown-haired girl up in a tree.,The boy jumped from the tree.
6089,entailment,A little brown-haired girl up in a tree.,There is a girl playing on the tree.
6090,entailment,A little brown-haired girl up in a tree.,A girl climbed up the tree.
6091,neutral,A man is standing next to a bin overflowing with garbage.,The trash hasn't been collecting for several days.
6092,contradiction,A man is standing next to a bin overflowing with garbage.,A man is driving away from an empty garbage bin.
6093,entailment,A man is standing next to a bin overflowing with garbage.,The garbage bin is full.
6094,entailment,School kids all in blue backpacks.,Young students all carry blue book bags.
6095,contradiction,School kids all in blue backpacks.,Businessmen all in suits carrying black briefcases.
6096,neutral,School kids all in blue backpacks.,Female school students in uniforms all in blue backpacks.
6097,neutral,"Dozens of street performers in fuchsia, red, yellow and black outfits are dancing and singing along a city street.",The people were singing and dancing in a parade.
6098,contradiction,"Dozens of street performers in fuchsia, red, yellow and black outfits are dancing and singing along a city street.",A group of silent mummers were performing in the park.
6099,entailment,"Dozens of street performers in fuchsia, red, yellow and black outfits are dancing and singing along a city street.",Many performers in colorful costumes were entertaining in the streets.
6100,neutral,A group of people are walking down a sidewalk beside the beach.,The people plan to go tanning on the beach.
6101,entailment,A group of people are walking down a sidewalk beside the beach.,There are people near a beach.
6102,contradiction,A group of people are walking down a sidewalk beside the beach.,There is no beach nearby.
6103,entailment,A standing man in a suit finishes his turn in a chess game as his seated opponent begins his in a crowded park.,A male with clothes on is in front of another male in a crowded park.
6104,neutral,A standing man in a suit finishes his turn in a chess game as his seated opponent begins his in a crowded park.,A business man plans on playing another guy for money on a game of chess.
6105,contradiction,A standing man in a suit finishes his turn in a chess game as his seated opponent begins his in a crowded park.,A business man is fishing alone in the middle of the Pacific ocean.
6106,neutral,A man in a black shirt holding cloth next to a wooded structure as people walk around it.,A man is holding something near some trees as people pass by.
6107,neutral,A man in a black shirt holding cloth next to a wooded structure as people walk around it.,A man sells handkerchiefs near a grove of trees while people pass by.
6108,contradiction,A man in a black shirt holding cloth next to a wooded structure as people walk around it.,A man holds a fish alone in the woods.
6109,entailment,The dog is walking in the snow.,The snow is outside
6110,contradiction,The dog is walking in the snow.,The snow is hot
6111,neutral,The dog is walking in the snow.,The dog is cold
6112,contradiction,Two men walking their canoe through the woods.,a couple of men eat cheese cake in the woods
6113,entailment,Two men walking their canoe through the woods.,a couple of men walk their canoe
6114,neutral,Two men walking their canoe through the woods.,a couple of men walk their canoe to the cabin
